Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,3893.0,5281.330078125,3,aml/7_SN141_121-3_ROI-01,23
2@1,2790.245361328125,5277.169921875,3,aml/7_SN141_121-3_ROI-01,23
3@1,3848.898681640625,5279.0068359375,3,aml/7_SN141_121-3_ROI-01,23
4@1,4029.279541015625,5276.62646484375,3,aml/7_SN141_121-3_ROI-01,23
5@1,3081.9638671875,5276.69091796875,3,aml/7_SN141_121-3_ROI-01,23
6@1,3409.9951171875,5276.16064453125,3,aml/7_SN141_121-3_ROI-01,23
7@1,4245.38330078125,5270.82421875,3,aml/7_SN141_121-3_ROI-01,23
8@1,4760.0380859375,5275.2294921875,3,aml/7_SN141_121-3_ROI-01,23
9@1,2982.438232421875,5269.1796875,3,aml/7_SN141_121-3_ROI-01,23
10@1,3971.04541015625,5271.01123046875,3,aml/7_SN141_121-3_ROI-01,23
11@1,4308.94287109375,5269.59130859375,3,aml/7_SN141_121-3_ROI-01,23
12@1,4525.9814453125,5267.8486328125,3,aml/7_SN141_121-3_ROI-01,23
13@1,2491.944091796875,5259.52783203125,3,aml/7_SN141_121-3_ROI-01,23
14@1,2676.962646484375,5261.84228515625,3,aml/7_SN141_121-3_ROI-01,23
15@1,4460.6357421875,5263.57666015625,3,aml/7_SN141_121-3_ROI-01,23
16@1,4119.77001953125,5257.09375,3,aml/7_SN141_121-3_ROI-01,23
17@1,4276.2919921875,5257.79150390625,3,aml/7_SN141_121-3_ROI-01,23
18@1,2599.434326171875,5256.78076171875,3,aml/7_SN141_121-3_ROI-01,23
19@1,4075.318359375,5255.3798828125,3,aml/7_SN141_121-3_ROI-01,23
20@1,2532.106689453125,5248.42724609375,3,aml/7_SN141_121-3_ROI-01,23
21@1,2810.81103515625,5246.1640625,3,aml/7_SN141_121-3_ROI-01,23
22@1,4223.18701171875,5246.0029296875,3,aml/7_SN141_121-3_ROI-01,23
23@1,2028.9088134765625,5244.44921875,3,aml/7_SN141_121-3_ROI-01,23
24@1,2753.0771484375,5244.63720703125,3,aml/7_SN141_121-3_ROI-01,23
25@1,3716.239501953125,5244.310546875,3,aml/7_SN141_121-3_ROI-01,23
