Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,66441.5390625,-221058.46875,10,hbm/7_ROI-20,3
2@1,66850.25,-221060.609375,10,hbm/7_ROI-20,3
3@1,67889.90625,-221060.546875,10,hbm/7_ROI-20,3
4@1,67942.5390625,-221059.03125,10,hbm/7_ROI-20,3
5@1,69473.9140625,-221060.5625,10,hbm/7_ROI-20,3
6@1,67026.546875,-221062.875,10,hbm/7_ROI-20,3
7@1,68492.7890625,-221063.625,10,hbm/7_ROI-20,3
8@1,68721.4140625,-221062.625,10,hbm/7_ROI-20,3
9@1,66812.75,-221066.8125,10,hbm/7_ROI-20,3
10@1,68161.2421875,-221066.1875,10,hbm/7_ROI-20,14
11@1,66164.3828125,-221068.390625,10,hbm/7_ROI-20,24
12@1,66661.0859375,-221066.734375,10,hbm/7_ROI-20,14
13@1,68006.375,-221068.59375,10,hbm/7_ROI-20,28
14@1,68215.875,-221069.34375,10,hbm/7_ROI-20,3
15@1,68594.296875,-221071.328125,10,hbm/7_ROI-20,3
16@1,68638.8359375,-221069.5,10,hbm/7_ROI-20,3
17@1,68867.9140625,-221068.6875,10,hbm/7_ROI-20,21
18@1,66583.6015625,-221071.390625,10,hbm/7_ROI-20,14
19@1,66887.1796875,-221072.703125,10,hbm/7_ROI-20,14
20@1,66929.828125,-221071.859375,10,hbm/7_ROI-20,3
21@1,68111.6640625,-221070.015625,10,hbm/7_ROI-20,14
22@1,68758.875,-221071.140625,10,hbm/7_ROI-20,31
23@1,68795.046875,-221072.5,10,hbm/7_ROI-20,24
24@1,69410.546875,-221072.984375,10,hbm/7_ROI-20,3
25@1,69593.96875,-221072.875,10,hbm/7_ROI-20,3
26@1,67074.7265625,-221072.671875,10,hbm/7_ROI-20,3
27@1,67801.3671875,-221075.4375,10,hbm/7_ROI-20,3
28@1,68262.109375,-221074.4375,10,hbm/7_ROI-20,3
29@1,68549.875,-221073.578125,10,hbm/7_ROI-20,3
30@1,68914.9921875,-221079.234375,10,hbm/7_ROI-20,21
31@1,68968.28125,-221076.296875,10,hbm/7_ROI-20,3
32@1,66983.8984375,-221077.15625,10,hbm/7_ROI-20,3
33@1,67455.4453125,-221078.03125,10,hbm/7_ROI-20,24
34@1,67754.6640625,-221074.859375,10,hbm/7_ROI-20,22
35@1,67669.90625,-221076.078125,10,hbm/7_ROI-20,0
36@1,69287.609375,-221081.015625,10,hbm/7_ROI-20,3
37@1,66728.265625,-221082.265625,10,hbm/7_ROI-20,14
38@1,67395.453125,-221083.359375,10,hbm/7_ROI-20,22
39@1,69354.125,-221083.75,10,hbm/7_ROI-20,3
40@1,68693.3671875,-221086.125,10,hbm/7_ROI-20,3
41@1,66223.984375,-221091.25,10,hbm/7_ROI-20,3
42@1,67864.03125,-221093.203125,10,hbm/7_ROI-20,3
43@1,68889.046875,-221086.171875,10,hbm/7_ROI-20,20
44@1,69485.265625,-221091.578125,10,hbm/7_ROI-20,3
45@1,66958.734375,-221095.6875,10,hbm/7_ROI-20,3
46@1,67126.296875,-221095.765625,10,hbm/7_ROI-20,3
47@1,68315.2578125,-221094.390625,10,hbm/7_ROI-20,21
48@1,68252.625,-221097.515625,10,hbm/7_ROI-20,3
49@1,68503.7421875,-221096.953125,10,hbm/7_ROI-20,3
50@1,66856.4921875,-221100.03125,10,hbm/7_ROI-20,3
51@1,66805.0546875,-221103.359375,10,hbm/7_ROI-20,3
