Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,17.37809944152832,5262.357421875,23,mrd/6_SN177_ROI-16,18
2@1,803.7665405273436,5262.68603515625,23,mrd/6_SN177_ROI-16,9
3@1,386.4547119140625,5261.0302734375,23,mrd/6_SN177_ROI-16,9
4@1,451.0417175292969,5259.638671875,23,mrd/6_SN177_ROI-16,18
5@1,722.9742431640625,5258.13623046875,23,mrd/6_SN177_ROI-16,18
6@1,956.4633178710936,5255.9345703125,23,mrd/6_SN177_ROI-16,7
7@1,1007.2468872070312,5256.00341796875,23,mrd/6_SN177_ROI-16,7
8@1,1181.026123046875,5257.84326171875,23,mrd/6_SN177_ROI-16,9
9@1,241.7717437744141,5255.16796875,23,mrd/6_SN177_ROI-16,9
10@1,490.3697204589844,5250.22705078125,23,mrd/6_SN177_ROI-16,7
11@1,1477.718017578125,5256.509765625,23,mrd/6_SN177_ROI-16,18
12@1,1963.06005859375,5255.53076171875,23,mrd/6_SN177_ROI-16,7
13@1,868.8300170898436,5251.94775390625,23,mrd/6_SN177_ROI-16,7
14@1,1132.6258544921875,5254.4462890625,23,mrd/6_SN177_ROI-16,18
15@1,1636.3992919921875,5253.50927734375,23,mrd/6_SN177_ROI-16,25
16@1,1799.4295654296875,5245.44921875,23,mrd/6_SN177_ROI-16,18
17@1,58.506385803222656,5245.72802734375,23,mrd/6_SN177_ROI-16,29
18@1,1043.9208984375,5247.380859375,23,mrd/6_SN177_ROI-16,7
19@1,165.7378692626953,5244.78466796875,23,mrd/6_SN177_ROI-16,29
20@1,538.0104370117188,5245.57666015625,23,mrd/6_SN177_ROI-16,7
21@1,1355.8013916015625,5241.56103515625,23,mrd/6_SN177_ROI-16,18
22@1,589.270751953125,5239.38623046875,23,mrd/6_SN177_ROI-16,9
23@1,906.4838256835936,5240.78955078125,23,mrd/6_SN177_ROI-16,7
24@1,1507.4793701171875,5238.21435546875,23,mrd/6_SN177_ROI-16,18
25@1,117.66567993164062,5244.6484375,23,mrd/6_SN177_ROI-16,7
26@1,762.478515625,5234.38671875,23,mrd/6_SN177_ROI-16,9
27@1,823.0840454101561,5232.84814453125,23,mrd/6_SN177_ROI-16,7
28@1,1210.9825439453125,5236.60400390625,23,mrd/6_SN177_ROI-16,18
29@1,424.92776489257807,5228.0986328125,23,mrd/6_SN177_ROI-16,7
30@1,693.5224609375,5232.21337890625,23,mrd/6_SN177_ROI-16,18
31@1,206.21849060058597,5229.2451171875,23,mrd/6_SN177_ROI-16,25
32@1,14.999317169189451,5196.61376953125,23,mrd/6_SN177_ROI-16,29
33@1,2004.20703125,5225.72802734375,23,mrd/6_SN177_ROI-16,7
34@1,1533.1614990234375,5220.9267578125,23,mrd/6_SN177_ROI-16,18
35@1,1853.882568359375,5217.99462890625,23,mrd/6_SN177_ROI-16,18
36@1,944.3231201171876,5217.90673828125,23,mrd/6_SN177_ROI-16,7
37@1,1009.4117431640624,5218.89013671875,23,mrd/6_SN177_ROI-16,7
38@1,1085.368896484375,5216.36767578125,23,mrd/6_SN177_ROI-16,7
39@1,1137.8013916015625,5218.08642578125,23,mrd/6_SN177_ROI-16,7
40@1,1185.9830322265625,5216.130859375,23,mrd/6_SN177_ROI-16,7
41@1,1766.3529052734375,5216.19189453125,23,mrd/6_SN177_ROI-16,9
42@1,455.2408752441406,5215.845703125,23,mrd/6_SN177_ROI-16,7
43@1,345.51467895507807,5230.51904296875,23,mrd/6_SN177_ROI-16,25
44@1,492.62158203125,5210.9814453125,23,mrd/6_SN177_ROI-16,7
45@1,1041.143310546875,5209.58837890625,23,mrd/6_SN177_ROI-16,18
46@1,546.4221801757812,5207.83544921875,23,mrd/6_SN177_ROI-16,7
47@1,846.2115478515625,5209.88134765625,23,mrd/6_SN177_ROI-16,7
48@1,1947.044921875,5207.54150390625,23,mrd/6_SN177_ROI-16,7
49@1,139.59475708007812,5207.02001953125,23,mrd/6_SN177_ROI-16,28
50@1,884.0507202148436,5201.318359375,23,mrd/6_SN177_ROI-16,29
51@1,1239.7974853515625,5205.3955078125,23,mrd/6_SN177_ROI-16,18
52@1,1397.0340576171875,5202.6328125,23,mrd/6_SN177_ROI-16,18
53@1,1435.3221435546875,5204.64892578125,23,mrd/6_SN177_ROI-16,18
54@1,1608.157958984375,5200.4052734375,23,mrd/6_SN177_ROI-16,25
55@1,183.11601257324216,5203.5166015625,23,mrd/6_SN177_ROI-16,21
56@1,396.4828186035156,5201.759765625,23,mrd/6_SN177_ROI-16,7
57@1,2049.42578125,5198.2734375,23,mrd/6_SN177_ROI-16,18
58@1,657.1004638671875,5191.97509765625,23,mrd/6_SN177_ROI-16,7
59@1,806.8856811523436,5193.435546875,23,mrd/6_SN177_ROI-16,7
60@1,1475.141357421875,5192.34521484375,23,mrd/6_SN177_ROI-16,18
61@1,517.0800170898438,5184.33447265625,23,mrd/6_SN177_ROI-16,7
62@1,767.0411376953125,5185.796875,23,mrd/6_SN177_ROI-16,18
63@1,929.89453125,5184.10986328125,23,mrd/6_SN177_ROI-16,7
64@1,472.3734130859375,5183.1787109375,23,mrd/6_SN177_ROI-16,7
65@1,715.8230590820312,5179.47705078125,23,mrd/6_SN177_ROI-16,7
66@1,1014.7891845703124,5183.6357421875,23,mrd/6_SN177_ROI-16,7
67@1,1875.331787109375,5185.32568359375,23,mrd/6_SN177_ROI-16,19
68@1,1281.21826171875,5179.5830078125,23,mrd/6_SN177_ROI-16,9
69@1,621.3603515625,5177.53369140625,23,mrd/6_SN177_ROI-16,28
70@1,1117.3870849609375,5176.35595703125,23,mrd/6_SN177_ROI-16,18
71@1,853.1376953125,5172.5087890625,23,mrd/6_SN177_ROI-16,18
72@1,1755.706787109375,5175.67626953125,23,mrd/6_SN177_ROI-16,19
73@1,390.9889221191406,5169.26025390625,23,mrd/6_SN177_ROI-16,16
74@1,970.99951171875,5168.96337890625,23,mrd/6_SN177_ROI-16,7
75@1,1075.9974365234375,5172.2802734375,23,mrd/6_SN177_ROI-16,18
76@1,1365.3623046875,5176.02294921875,23,mrd/6_SN177_ROI-16,9
77@1,100.15020751953124,5177.11083984375,23,mrd/6_SN177_ROI-16,19
