Cell Id,Nuc X,Nuc Y Inv,region_num,unique_region,leiden
1@1,140605.171875,-189439.375,28,mrd/9_SN141_slides2_ROI-06,11
2@1,140352.640625,-189443.421875,28,mrd/9_SN141_slides2_ROI-06,11
3@1,140451.734375,-189443.625,28,mrd/9_SN141_slides2_ROI-06,11
4@1,141327.625,-189445.390625,28,mrd/9_SN141_slides2_ROI-06,11
5@1,140194.71875,-189445.515625,28,mrd/9_SN141_slides2_ROI-06,11
6@1,140681.203125,-189447.703125,28,mrd/9_SN141_slides2_ROI-06,11
7@1,141014.90625,-189446.484375,28,mrd/9_SN141_slides2_ROI-06,11
8@1,140244.25,-189449.828125,28,mrd/9_SN141_slides2_ROI-06,11
9@1,140490.421875,-189448.734375,28,mrd/9_SN141_slides2_ROI-06,11
10@1,140546.46875,-189447.75,28,mrd/9_SN141_slides2_ROI-06,11
11@1,140717.359375,-189448.46875,28,mrd/9_SN141_slides2_ROI-06,11
12@1,141241.796875,-189448.859375,28,mrd/9_SN141_slides2_ROI-06,11
13@1,140282.53125,-189450.96875,28,mrd/9_SN141_slides2_ROI-06,11
14@1,141079.546875,-189450.171875,28,mrd/9_SN141_slides2_ROI-06,11
15@1,141109.8125,-189450.625,28,mrd/9_SN141_slides2_ROI-06,11
16@1,141168.515625,-189450.15625,28,mrd/9_SN141_slides2_ROI-06,11
17@1,140322.3125,-189454.953125,28,mrd/9_SN141_slides2_ROI-06,11
18@1,140930.359375,-189461.34375,28,mrd/9_SN141_slides2_ROI-06,11
19@1,140221.171875,-189457.1875,28,mrd/9_SN141_slides2_ROI-06,11
20@1,140851.484375,-189455.359375,28,mrd/9_SN141_slides2_ROI-06,11
21@1,141357.859375,-189460.84375,28,mrd/9_SN141_slides2_ROI-06,11
22@1,141299.25,-189466.34375,28,mrd/9_SN141_slides2_ROI-06,11
23@1,140409.765625,-189472.953125,28,mrd/9_SN141_slides2_ROI-06,11
24@1,140768.921875,-189468.3125,28,mrd/9_SN141_slides2_ROI-06,11
25@1,141006.0625,-189473.46875,28,mrd/9_SN141_slides2_ROI-06,11
26@1,141261.125,-189468.125,28,mrd/9_SN141_slides2_ROI-06,11
27@1,140675.15625,-189476.171875,28,mrd/9_SN141_slides2_ROI-06,24
28@1,141121.0,-189477.890625,28,mrd/9_SN141_slides2_ROI-06,11
29@1,140638.53125,-189485.0625,28,mrd/9_SN141_slides2_ROI-06,11
30@1,141093.5,-189479.296875,28,mrd/9_SN141_slides2_ROI-06,11
31@1,141182.96875,-189483.875,28,mrd/9_SN141_slides2_ROI-06,11
32@1,140245.03125,-189492.296875,28,mrd/9_SN141_slides2_ROI-06,11
33@1,140823.484375,-189491.78125,28,mrd/9_SN141_slides2_ROI-06,11
34@1,140605.765625,-189492.28125,28,mrd/9_SN141_slides2_ROI-06,11
35@1,140173.453125,-189488.875,28,mrd/9_SN141_slides2_ROI-06,11
36@1,141234.03125,-189488.0625,28,mrd/9_SN141_slides2_ROI-06,11
37@1,141407.84375,-189484.546875,28,mrd/9_SN141_slides2_ROI-06,11
38@1,140335.234375,-189495.171875,28,mrd/9_SN141_slides2_ROI-06,11
39@1,140503.71875,-189501.140625,28,mrd/9_SN141_slides2_ROI-06,11
40@1,140984.28125,-189497.640625,28,mrd/9_SN141_slides2_ROI-06,11
41@1,141307.96875,-189497.015625,28,mrd/9_SN141_slides2_ROI-06,11
42@1,140386.515625,-189507.84375,28,mrd/9_SN141_slides2_ROI-06,11
43@1,140449.890625,-189513.125,28,mrd/9_SN141_slides2_ROI-06,11
44@1,140769.65625,-189502.140625,28,mrd/9_SN141_slides2_ROI-06,11
45@1,140865.453125,-189498.1875,28,mrd/9_SN141_slides2_ROI-06,11
46@1,141155.5625,-189504.265625,28,mrd/9_SN141_slides2_ROI-06,11
47@1,140653.875,-189508.578125,28,mrd/9_SN141_slides2_ROI-06,11
48@1,140712.515625,-189507.140625,28,mrd/9_SN141_slides2_ROI-06,11
