group,names,scores,logfoldchanges,pvals,pvals_adj
0,CD11b REA1321,-8.970781,9.332982,2.944190348402231e-19,3.5049885100026556e-19
0,Ki 67 REAL1047,21.551956,3.4875576,5.075581606693615e-103,7.930596260458773e-103
0,CD73 REAL1172,-30.569677,2.4116392,3.097181991647262e-205,5.16196998607877e-205
0,HLA DR REAL550,14.146919,1.3875767,1.9512075695068467e-45,2.4390094618835583e-45
0,Podoplanin REA446,2.0087805,0.71688026,0.044560424520232456,0.04641710887524214
1,Mast Cell Tryptase REAL798,57.24229,3.2437978,0.0,0.0
1,CD38 REAL719,7.454276,2.6439033,9.036270367796123e-14,9.412781633120961e-14
1,CD4 REA1307,-21.582552,1.496666,2.619985193317917e-103,3.1190299920451396e-103
1,CD73 REAL1172,98.57308,,0.0,0.0
1,CD31 REA1312,94.25976,,0.0,0.0
2,CD38 REAL719,-45.133415,11.414403,0.0,0.0
2,FoxP3 REA1253,50.883274,6.3601213,0.0,0.0
2,CD14 REA1314,-67.03229,5.064482,0.0,0.0
2,CD3 REAL1097,-25.539705,4.9849567,7.145088586045902e-144,1.2759086760796254e-143
2,CD16 REA1324,-62.870716,3.7394896,0.0,0.0
3,CD38 REAL719,-26.117893,5.0283384,2.283565219846295e-150,4.0777950354398123e-150
3,CD3 REAL1097,-16.55728,4.2430997,1.4186336308270133e-61,1.9703244872597406e-61
3,CD14 REA1314,-51.625248,4.1987295,0.0,0.0
3,CD16 REA1324,-52.18966,3.4400048,0.0,0.0
3,CD20 REAL1069,49.31191,2.7689426,0.0,0.0
4,CD3 REAL1097,-14.094975,3.8401883,4.0778765928206686e-45,6.371682176282295e-45
4,CD16 REA1324,-68.90983,3.7772286,0.0,0.0
4,CD14 REA1314,-42.826225,3.7400155,0.0,0.0
4,CD20 REAL1069,39.97692,2.9509883,0.0,0.0
4,CD73 REAL1172,-42.363438,2.9052477,0.0,0.0
5,HLA DR REAL550,29.071384,6.6410294,8.260062440970978e-186,2.0650156102427442e-185
5,FoxP3 REA1253,38.439213,4.9094157,0.0,0.0
5,CD15 VIMC6,20.767996,3.8940036,8.430340773961874e-96,1.5054179953503346e-95
5,CD14 REA1314,-37.680386,3.553422,0.0,0.0
5,CD16 REA1324,-44.423454,3.1493492,0.0,0.0
6,Arginase 1 REAL1137,4.230676,2.6632576,2.3299007154021897e-05,2.3299007154021897e-05
6,CD14 REA1314,94.16917,,0.0,0.0
6,CD163 REA1309,82.87965,,0.0,0.0
6,Podoplanin REA446,75.20398,,0.0,0.0
6,CD16 REA1324,64.384674,,0.0,0.0
7,CD38 REAL719,-52.57005,6.532494,0.0,0.0
7,FoxP3 REA1253,37.48966,4.6500173,1.357660059718566e-307,3.0855910448149226e-307
7,CD3 REAL1097,-29.497711,4.4927063,3.080338852844176e-191,6.417372610092034e-191
7,CD14 REA1314,-60.682663,4.291599,0.0,0.0
7,CD16 REA1324,-58.468845,3.443569,0.0,0.0
8,CD45 5B1,65.00613,4.1667924,0.0,0.0
8,CD34 REAL1217,-2.8824658,4.050011,0.003945758950188666,0.004288868424118115
8,Mast Cell Tryptase REAL798,62.3504,3.9988115,0.0,0.0
8,CD79a REA1168,44.500816,3.0474806,0.0,0.0
8,CD11b REA1321,10.714826,2.9396744,8.672082506755943e-27,1.0840103133444928e-26
9,CD34 REAL1217,-5.320424,4.34562,1.0352551704531575e-07,1.1252773591882147e-07
9,FoxP3 REA1253,22.433348,3.4158068,1.860949281036546e-111,2.9077332516196034e-111
9,CD45 5B1,53.49738,3.2434366,0.0,0.0
9,CD73 REAL1172,-42.195183,3.003727,0.0,0.0
9,CD4 REA1307,-52.97524,2.6489818,0.0,0.0
10,CD3 REAL1097,-66.7208,7.9378676,0.0,0.0
10,CD11b REA1321,-12.738874,4.9861484,3.595448097609631e-37,3.7452584350100324e-37
10,Ki 67 REAL1047,36.381054,4.727185,8.487191562939722e-290,1.5155699219535217e-289
10,PAX 5 REA140,-22.710228,2.3782072,3.550018502075134e-114,4.930581252882131e-114
10,CD4 REA1307,-1.7011235,0.13350803,0.08891980567425462,0.08891980567425462
11,CD235a REA175,31.016531,6.5842166,3.2268708403162426e-211,4.481765055994782e-211
11,CD45 5B1,72.76663,5.537097,0.0,0.0
11,CD79a REA1168,62.432945,5.2498703,0.0,0.0
11,Mast Cell Tryptase REAL798,63.20266,4.5344214,0.0,0.0
11,CD68 REAL1346,57.70186,4.1342998,0.0,0.0
12,CD45 5B1,80.84559,8.491705,0.0,0.0
12,Mast Cell Tryptase REAL798,72.55539,5.6930656,0.0,0.0
12,CD34 REAL1217,-24.194296,5.339361,2.5546015552759916e-129,5.32208657349165e-129
12,CD38 REAL719,-13.9656105,3.5766027,2.527311179118807e-44,3.1591389738985084e-44
12,CD3 REAL1097,-4.685708,3.270872,2.789940063873701e-06,2.9061875665351052e-06
13,CD15 VIMC6,48.241837,9.247473,0.0,0.0
13,CD235a REA175,15.233464,9.144884,2.1205120557041522e-52,2.65064006963019e-52
13,CD3 REAL1097,-51.846066,5.122339,0.0,0.0
13,CD38 REAL719,0.6669617,2.882408,0.5047965788337869,0.5047965788337869
13,CD73 REAL1172,-7.1199403,1.550838,1.0797390078256801e-12,1.1247281331517502e-12
14,Arginase 1 REAL1137,-19.396183,4.9871187,8.311924472367116e-84,2.968544454416827e-83
14,CD11b REA1321,2.8278973,3.730874,0.0046854834286908405,0.005092916770316131
14,CD45 5B1,32.769077,2.7500432,1.6242086481257877e-235,1.3535072067714898e-234
14,PAX 5 REA140,-22.753786,2.4386482,1.3163475284657943e-114,6.58173764232897e-114
14,Mast Cell Tryptase REAL798,26.814491,2.431189,2.1898576202363293e-158,1.3686610126477058e-157
15,CD79a REA1168,45.6838,5.976967,0.0,0.0
15,CD34 REAL1217,-31.543842,5.2478228,2.177942666104108e-218,6.049840739178078e-218
15,CD38 REAL719,-43.67813,4.936273,0.0,0.0
15,CD15 VIMC6,19.582874,3.884537,2.1645338382995772e-85,3.6075563971659624e-85
15,CD73 REAL1172,-25.242247,2.5048919,1.377880611838514e-140,2.870584607996904e-140
16,CD11b REA1321,-22.351078,6.406584,1.1786351851957921e-110,7.3664699074737e-110
16,FoxP3 REA1253,23.821766,4.443712,1.9871795772143707e-125,1.6559829810119756e-124
16,HLA DR REAL550,15.068015,4.3956957,2.6289357332965998e-51,9.389056190344999e-51
16,Arginase 1 REAL1137,-6.3553114,3.7819088,2.080049250420186e-10,3.0588959565002734e-10
16,CD34 REAL1217,-10.133616,3.6847634,3.918814390481869e-24,7.53618152015744e-24
17,CD8a REA1024,11.391391,3.947868,4.615636893727605e-30,6.410606796843896e-30
17,Arginase 1 REAL1137,-2.6720347,3.7802942,0.0075392835857472,0.008567367711076364
17,CD11b REA1321,2.3651962,3.0872803,0.018020516629739986,0.019587518075804333
17,CD38 REAL719,-0.99798113,1.5677061,0.31828849894120415,0.331550519730421
17,PAX 5 REA140,8.683298,-0.040485464,3.844540000183543e-18,4.805675000229429e-18
18,CD20 REAL1069,52.853504,11.719574,0.0,0.0
18,CD11b REA1321,-17.095362,5.7734623,1.6069333261111507e-65,5.021666644097346e-65
18,CD34 REAL1217,-13.328333,4.2698703,1.583985136588523e-40,3.299969034559423e-40
18,FoxP3 REA1253,18.030687,3.6592972,1.1189131678718488e-72,5.594565839359244e-72
18,CD38 REAL719,-14.919678,3.4490478,2.454557942400669e-50,6.136394856001672e-50
19,HLA DR REAL550,19.774082,6.7519255,4.978037282829885e-87,8.296728804716475e-87
19,Arginase 1 REAL1137,-29.508158,5.305166,2.2625437474309412e-191,6.284843742863726e-191
19,CD3 REAL1097,-41.736843,4.6867213,0.0,0.0
19,CD11b REA1321,-6.37866,3.984356,1.78643818146321e-10,2.1267121207895356e-10
19,Mast Cell Tryptase REAL798,1.7542613,0.650123,0.07938575053589444,0.07938575053589444
20,CD11b REA1321,-18.742903,5.8630576,2.212264453968285e-78,6.913326418650891e-78
20,FoxP3 REA1253,26.876625,5.22599,4.1211200246728664e-159,2.5757000154205412e-158
